user_id,frequency,recency,F_score,R_score,RFM_score
11145,5,3,1,0,01
11158,2,6,0,0,00
11159,4,2,1,1,11
11162,4,0,1,1,11
11179,3,0,1,1,11
11189,2,1,0,1,10
11190,7,0,1,1,11
11194,4,2,1,1,11
11202,2,1,0,1,10
11209,1,1,0,1,10
11215,1,2,0,1,10
11222,2,7,0,0,00
11225,1,3,0,0,00
11226,8,0,1,1,11
11246,1,0,0,1,10
11253,3,4,1,0,01
11255,3,1,1,1,11
11272,7,0,1,1,11
11283,2,2,0,1,10
11293,1,7,0,0,00
11294,5,0,1,1,11
11295,11,0,1,1,11
11304,1,6,0,0,00
11313,2,0,0,1,10
11316,1,1,0,1,10
11323,6,1,1,1,11
11327,3,5,1,0,01
11328,1,8,0,0,00
11341,2,0,0,1,10
11343,2,1,0,1,10
11344,2,3,0,0,00
11345,3,2,1,1,11
11377,2,0,0,1,10
11379,5,5,1,0,01
11380,5,1,1,1,11
11386,1,2,0,1,10
11393,6,2,1,1,11
11395,2,2,0,1,10
11403,7,0,1,1,11
11413,1,5,0,0,00
11417,6,2,1,1,11
11435,4,3,1,0,01
11440,3,0,1,1,11
11450,4,6,1,0,01
11452,1,0,0,1,10
11465,3,0,1,1,11
11495,4,0,1,1,11
11497,2,5,0,0,00
11498,4,1,1,1,11
11501,2,4,0,0,00
11503,2,0,0,1,10
11504,7,5,1,0,01
11507,3,0,1,1,11
11509,2,0,0,1,10
11517,2,0,0,1,10
11524,2,0,0,1,10
11531,1,2,0,1,10
11540,1,7,0,0,00
11552,4,3,1,0,01
11588,2,3,0,0,00
11590,1,1,0,1,10
11594,2,2,0,1,10
11601,2,7,0,0,00
11610,3,3,1,0,01
11611,2,5,0,0,00
11619,4,2,1,1,11
11625,2,0,0,1,10
11663,1,7,0,0,00
11666,3,5,1,0,01
11682,3,1,1,1,11
11708,4,2,1,1,11
11714,7,1,1,1,11
11721,7,1,1,1,11
11730,4,0,1,1,11
11736,1,3,0,0,00
11740,2,5,0,0,00
11744,1,1,0,1,10
11763,3,0,1,1,11
11770,2,4,0,0,00
11774,3,5,1,0,01
11783,5,2,1,1,11
11792,2,0,0,1,10
11800,2,0,0,1,10
11812,1,0,0,1,10
11821,1,1,0,1,10
11834,4,1,1,1,11
11835,2,3,0,0,00
11839,1,7,0,0,00
11855,4,5,1,0,01
11889,1,0,0,1,10
11897,1,7,0,0,00
11900,5,0,1,1,11
11912,1,2,0,1,10
11916,4,0,1,1,11
11921,1,2,0,1,10
11923,1,3,0,0,00
11946,11,0,1,1,11
11950,2,0,0,1,10
11964,1,6,0,0,00
11970,2,0,0,1,10
11975,3,0,1,1,11
11976,11,0,1,1,11
11988,1,8,0,0,00
11995,1,7,0,0,00
11998,4,7,1,0,01
12002,1,6,0,0,00
12004,2,1,0,1,10
12026,2,1,0,1,10
12035,15,1,1,1,11
12037,3,1,1,1,11
12050,3,2,1,1,11
12064,2,0,0,1,10
12068,2,0,0,1,10
12076,1,8,0,0,00
12077,1,3,0,0,00
12078,2,1,0,1,10
12082,1,2,0,1,10
12084,1,8,0,0,00
12087,2,4,0,0,00
12088,1,5,0,0,00
12095,5,0,1,1,11
12099,3,2,1,1,11
12104,4,1,1,1,11
12105,3,2,1,1,11
12110,2,0,0,1,10
12112,3,0,1,1,11
12117,2,0,0,1,10
12124,4,1,1,1,11
12133,3,0,1,1,11
12143,4,4,1,0,01
12146,3,1,1,1,11
12151,6,7,1,0,01
12163,1,1,0,1,10
12169,3,6,1,0,01
12178,1,8,0,0,00
12180,1,2,0,1,10
12186,4,1,1,1,11
12197,1,8,0,0,00
12202,4,0,1,1,11
12204,1,2,0,1,10
12213,4,0,1,1,11
12218,1,6,0,0,00
12230,2,1,0,1,10
12255,1,7,0,0,00
12261,7,3,1,0,01
12265,3,2,1,1,11
12268,1,1,0,1,10
12274,3,0,1,1,11
12283,1,2,0,1,10
12289,8,1,1,1,11
12295,2,2,0,1,10
12298,1,4,0,0,00
12308,2,2,0,1,10
12322,12,1,1,1,11
12325,1,4,0,0,00
12333,3,3,1,0,01
12350,2,0,0,1,10
12351,5,1,1,1,11
12356,2,1,0,1,10
12360,1,0,0,1,10
12373,2,5,0,0,00
12375,2,2,0,1,10
12378,3,1,1,1,11
12384,3,0,1,1,11
12387,1,0,0,1,10
12389,2,1,0,1,10
12394,1,1,0,1,10
12400,4,0,1,1,11
12403,2,1,0,1,10
12407,3,5,1,0,01
12412,1,0,0,1,10
12420,3,3,1,0,01
12424,4,0,1,1,11
12432,2,2,0,1,10
12455,2,1,0,1,10
12464,2,5,0,0,00
12465,3,5,1,0,01
12466,2,1,0,1,10
12476,9,1,1,1,11
12482,2,2,0,1,10
12492,5,1,1,1,11
12494,2,4,0,0,00
12500,1,0,0,1,10
12524,2,0,0,1,10
12548,2,2,0,1,10
12566,2,4,0,0,00
12568,2,0,0,1,10
12569,2,2,0,1,10
12574,3,0,1,1,11
12576,2,0,0,1,10
12578,2,3,0,0,00
12589,1,2,0,1,10
12605,4,0,1,1,11
12615,3,3,1,0,01
12617,1,3,0,0,00
12629,3,2,1,1,11
12630,8,1,1,1,11
12632,1,0,0,1,10
12644,10,0,1,1,11
12645,1,5,0,0,00
12646,6,0,1,1,11
12650,1,4,0,0,00
12665,7,1,1,1,11
12674,1,0,0,1,10
12699,3,2,1,1,11
12700,1,0,0,1,10
12701,15,0,1,1,11
12707,2,2,0,1,10
12709,1,3,0,0,00
12722,6,0,1,1,11
12747,2,0,0,1,10
12756,7,1,1,1,11
12758,1,8,0,0,00
12763,2,0,0,1,10
12764,1,8,0,0,00
12775,5,4,1,0,01
12779,1,3,0,0,00
12780,1,7,0,0,00
12788,3,2,1,1,11
12795,1,1,0,1,10
12801,17,0,1,1,11
12806,5,2,1,1,11
12808,3,4,1,0,01
12819,1,8,0,0,00
12830,2,8,0,0,00
12849,1,8,0,0,00
12851,2,1,0,1,10
12860,5,3,1,0,01
100002,1,3,0,0,00
100009,2,1,0,1,10
100030,4,7,1,0,01
100059,1,6,0,0,00
100068,4,3,1,0,01
100075,2,3,0,0,00
100088,2,1,0,1,10
100091,3,0,1,1,11
100095,1,4,0,0,00
100101,28,0,1,1,11
100103,1,1,0,1,10
100105,3,0,1,1,11
100107,3,0,1,1,11
100109,1,4,0,0,00
100113,3,4,1,0,01
100116,13,0,1,1,11
100128,2,1,0,1,10
100134,14,5,1,0,01
100141,2,1,0,1,10
100164,1,4,0,0,00
100173,8,0,1,1,11
100177,3,5,1,0,01
100184,1,1,0,1,10
100186,5,1,1,1,11
100191,5,2,1,1,11
100197,2,0,0,1,10
100204,5,5,1,0,01
100215,3,1,1,1,11
100225,2,0,0,1,10
100227,1,0,0,1,10
100234,6,5,1,0,01
100242,5,3,1,0,01
100243,2,0,0,1,10
100249,2,5,0,0,00
100257,6,0,1,1,11
100259,1,3,0,0,00
100261,2,0,0,1,10
100264,2,1,0,1,10
100277,1,6,0,0,00
100279,3,0,1,1,11
100284,1,5,0,0,00
100285,1,1,0,1,10
100292,2,6,0,0,00
100294,5,0,1,1,11
100307,2,3,0,0,00
100308,1,5,0,0,00
100313,1,1,0,1,10
100318,2,0,0,1,10
100324,2,5,0,0,00
100339,1,7,0,0,00
100340,3,2,1,1,11
100346,1,3,0,0,00
100356,6,0,1,1,11
100357,2,1,0,1,10
100363,2,5,0,0,00
100370,2,0,0,1,10
100377,3,0,1,1,11
100388,3,0,1,1,11
100395,2,1,0,1,10
100401,2,7,0,0,00
100428,1,5,0,0,00
100440,1,0,0,1,10
100451,3,0,1,1,11
100453,1,0,0,1,10
100477,6,0,1,1,11
100483,6,1,1,1,11
100493,2,4,0,0,00
100501,1,4,0,0,00
100523,3,5,1,0,01
100528,6,0,1,1,11
100531,2,2,0,1,10
100540,4,3,1,0,01
100561,2,1,0,1,10
100567,2,3,0,0,00
100580,6,4,1,0,01
100595,2,3,0,0,00
100599,6,0,1,1,11
100600,3,1,1,1,11
100614,2,3,0,0,00
100615,2,3,0,0,00
100641,1,1,0,1,10
100663,4,1,1,1,11
100664,1,5,0,0,00
100678,11,0,1,1,11
100688,2,4,0,0,00
100700,2,6,0,0,00
100702,1,3,0,0,00
100712,1,4,0,0,00
100719,1,7,0,0,00
100734,2,1,0,1,10
100740,3,1,1,1,11
100757,3,2,1,1,11
100760,3,6,1,0,01
100762,2,2,0,1,10
100772,2,0,0,1,10
100781,1,8,0,0,00
100794,2,2,0,1,10
100797,5,1,1,1,11
100800,1,1,0,1,10
100803,4,1,1,1,11
100812,5,2,1,1,11
100814,2,0,0,1,10
100815,1,4,0,0,00
100816,1,4,0,0,00
100821,3,0,1,1,11
100822,2,1,0,1,10
100847,2,2,0,1,10
100856,2,0,0,1,10
100860,6,0,1,1,11
100865,1,2,0,1,10
100871,3,1,1,1,11
100877,1,7,0,0,00
100891,2,6,0,0,00
100893,1,3,0,0,00
100901,1,2,0,1,10
100925,4,0,1,1,11
100927,1,7,0,0,00
100933,1,5,0,0,00
100970,1,8,0,0,00
100977,3,6,1,0,01
100992,2,1,0,1,10
101001,4,0,1,1,11
101003,6,3,1,0,01
101008,12,0,1,1,11
101013,1,2,0,1,10
101021,2,7,0,0,00
101023,6,2,1,1,11
101024,2,5,0,0,00
101033,2,2,0,1,10
101047,3,0,1,1,11
101056,1,8,0,0,00
101058,1,4,0,0,00
101063,2,3,0,0,00
101082,7,1,1,1,11
101084,1,5,0,0,00
101088,3,1,1,1,11
101092,5,1,1,1,11
101096,6,1,1,1,11
101101,1,3,0,0,00
101104,2,3,0,0,00
101112,2,3,0,0,00
101114,2,1,0,1,10
101144,1,0,0,1,10
101150,1,1,0,1,10
101157,1,4,0,0,00
101165,2,1,0,1,10
101182,3,0,1,1,11
101188,8,2,1,1,11
101189,2,4,0,0,00
101190,2,1,0,1,10
101204,2,4,0,0,00
101210,1,5,0,0,00
101212,9,0,1,1,11
101217,1,1,0,1,10
101230,2,0,0,1,10
101231,2,4,0,0,00
101239,4,0,1,1,11
101245,3,3,1,0,01
101249,8,0,1,1,11
101260,2,4,0,0,00
101269,1,0,0,1,10
101296,1,8,0,0,00
101300,2,8,0,0,00
101303,4,0,1,1,11
101305,6,0,1,1,11
101306,4,2,1,1,11
101312,4,0,1,1,11
101313,1,8,0,0,00
101319,1,3,0,0,00
101320,1,4,0,0,00
101321,1,1,0,1,10
101326,1,4,0,0,00
101335,2,1,0,1,10
101339,2,1,0,1,10
101340,1,5,0,0,00
101343,2,8,0,0,00
101345,1,7,0,0,00
101352,1,7,0,0,00
101381,14,0,1,1,11
101391,2,4,0,0,00
101392,3,1,1,1,11
101393,1,1,0,1,10
101394,3,1,1,1,11
101402,1,3,0,0,00
101413,1,0,0,1,10
101417,3,0,1,1,11
101418,1,4,0,0,00
101420,6,0,1,1,11
101422,2,0,0,1,10
101431,1,3,0,0,00
101433,2,3,0,0,00
101434,1,1,0,1,10
101448,1,5,0,0,00
101457,2,1,0,1,10
101473,3,1,1,1,11
101474,2,1,0,1,10
101489,1,0,0,1,10
101502,2,6,0,0,00
101515,4,0,1,1,11
101516,1,3,0,0,00
101526,11,2,1,1,11
101527,3,0,1,1,11
101528,5,2,1,1,11
101556,3,0,1,1,11
101575,1,5,0,0,00
101583,6,1,1,1,11
101589,2,0,0,1,10
101599,1,1,0,1,10
101606,2,3,0,0,00
101613,4,3,1,0,01
101638,1,8,0,0,00
101640,3,0,1,1,11
101653,2,1,0,1,10
101660,9,0,1,1,11
101661,1,1,0,1,10
101666,1,2,0,1,10
101673,2,0,0,1,10
101674,1,8,0,0,00
101678,6,1,1,1,11
101733,1,6,0,0,00
101738,2,8,0,0,00
101744,4,0,1,1,11
101762,1,5,0,0,00
101767,1,0,0,1,10
101771,6,1,1,1,11
101777,4,1,1,1,11
101797,3,3,1,0,01
101808,4,2,1,1,11
101817,3,5,1,0,01
101832,21,0,1,1,11
101838,3,2,1,1,11
101843,1,1,0,1,10
101855,4,0,1,1,11
101861,1,1,0,1,10
101872,1,3,0,0,00
101896,2,5,0,0,00
101904,3,0,1,1,11
101907,3,4,1,0,01
101909,1,0,0,1,10
101918,1,5,0,0,00
101929,3,2,1,1,11
101947,1,8,0,0,00
101951,1,2,0,1,10
101953,1,1,0,1,10
101954,3,0,1,1,11
101982,2,4,0,0,00
101983,9,0,1,1,11
101989,1,2,0,1,10
102004,1,6,0,0,00
102018,1,3,0,0,00
102019,4,4,1,0,01
102020,6,1,1,1,11
102030,1,4,0,0,00
102034,4,7,1,0,01
102048,6,1,1,1,11
102050,6,1,1,1,11
102069,3,2,1,1,11
102075,4,1,1,1,11
102083,1,1,0,1,10
102088,1,4,0,0,00
102101,1,0,0,1,10
102103,4,1,1,1,11
102110,6,5,1,0,01
102111,3,0,1,1,11
102119,1,0,0,1,10
102120,1,4,0,0,00
102124,2,3,0,0,00
102126,2,1,0,1,10
102138,1,3,0,0,00
102159,1,2,0,1,10
102162,1,5,0,0,00
102163,5,0,1,1,11
102169,1,4,0,0,00
102184,1,5,0,0,00
102189,1,7,0,0,00
102220,8,4,1,0,01
102236,2,4,0,0,00
102237,1,8,0,0,00
102246,1,3,0,0,00
102248,2,2,0,1,10
102257,8,0,1,1,11
102260,1,8,0,0,00
102270,4,1,1,1,11
102286,1,0,0,1,10
102294,2,0,0,1,10
102302,6,0,1,1,11
102304,6,1,1,1,11
102307,2,4,0,0,00
102308,1,7,0,0,00
102315,2,2,0,1,10
102318,2,2,0,1,10
102319,3,6,1,0,01
102325,2,1,0,1,10
102359,3,4,1,0,01
102385,6,2,1,1,11
102386,7,0,1,1,11
102390,1,0,0,1,10
102391,3,0,1,1,11
102397,3,5,1,0,01
102398,3,4,1,0,01
102403,4,5,1,0,01
102409,3,0,1,1,11
102410,1,5,0,0,00
102417,3,4,1,0,01
102422,7,1,1,1,11
102424,2,6,0,0,00
102434,3,6,1,0,01
102436,1,2,0,1,10
102450,1,4,0,0,00
102481,3,1,1,1,11
102487,3,2,1,1,11
102495,3,1,1,1,11
102496,3,8,1,0,01
102508,1,1,0,1,10
102509,2,2,0,1,10
102519,2,0,0,1,10
102523,2,8,0,0,00
102526,1,4,0,0,00
102534,1,6,0,0,00
102546,3,3,1,0,01
102569,3,1,1,1,11
102574,5,0,1,1,11
102580,1,4,0,0,00
102596,3,0,1,1,11
102604,3,0,1,1,11
102605,2,8,0,0,00
102609,1,3,0,0,00
102617,6,0,1,1,11
102626,4,1,1,1,11
102632,9,0,1,1,11
102633,7,1,1,1,11
102634,1,1,0,1,10
102642,1,3,0,0,00
102644,1,6,0,0,00
102647,1,0,0,1,10
102654,4,0,1,1,11
102662,1,6,0,0,00
102664,3,0,1,1,11
102666,1,4,0,0,00
102667,1,0,0,1,10
102682,4,1,1,1,11
102686,3,0,1,1,11
102690,1,6,0,0,00
102697,3,1,1,1,11
102702,3,0,1,1,11
102703,5,0,1,1,11
102715,2,3,0,0,00
102716,12,3,1,0,01
102719,6,1,1,1,11
102721,5,0,1,1,11
102728,5,1,1,1,11
102731,3,1,1,1,11
102742,18,0,1,1,11
102748,2,1,0,1,10
102750,2,1,0,1,10
102762,6,0,1,1,11
102768,2,1,0,1,10
102773,6,0,1,1,11
102774,6,0,1,1,11
102783,1,5,0,0,00
102784,3,4,1,0,01
102788,8,3,1,0,01
102795,4,1,1,1,11
102802,6,3,1,0,01
102856,1,0,0,1,10
102867,3,2,1,1,11
102873,2,2,0,1,10
102876,3,0,1,1,11
102879,1,0,0,1,10
102882,2,2,0,1,10
102885,2,0,0,1,10
102897,1,3,0,0,00
102903,3,2,1,1,11
102917,4,4,1,0,01
102928,1,4,0,0,00
102930,2,5,0,0,00
102932,4,3,1,0,01
102933,5,1,1,1,11
102945,1,6,0,0,00
102953,29,0,1,1,11
102954,1,4,0,0,00
102960,1,8,0,0,00
102971,1,4,0,0,00
102972,6,1,1,1,11
102976,1,4,0,0,00
102981,2,1,0,1,10
102986,2,2,0,1,10
103001,2,4,0,0,00
103004,1,0,0,1,10
103005,2,2,0,1,10
103019,1,0,0,1,10
103023,1,6,0,0,00
103046,1,0,0,1,10
103054,3,0,1,1,11
103062,4,1,1,1,11
103067,1,6,0,0,00
103071,5,2,1,1,11
103079,3,5,1,0,01
103082,4,3,1,0,01
103084,3,0,1,1,11
103091,1,8,0,0,00
103096,5,1,1,1,11
103098,1,8,0,0,00
103112,1,2,0,1,10
103121,2,2,0,1,10
103128,2,0,0,1,10
103139,3,4,1,0,01
103141,18,3,1,0,01
103143,1,0,0,1,10
103146,4,3,1,0,01
103147,3,0,1,1,11
103151,2,1,0,1,10
103153,10,1,1,1,11
103156,6,1,1,1,11
103159,4,0,1,1,11
103162,1,3,0,0,00
103164,1,6,0,0,00
103165,1,0,0,1,10
103169,1,8,0,0,00
103170,2,1,0,1,10
103175,1,3,0,0,00
103177,4,0,1,1,11
103178,3,2,1,1,11
103197,5,2,1,1,11
103202,5,1,1,1,11
103207,1,7,0,0,00
103213,1,3,0,0,00
103229,3,0,1,1,11
103242,14,1,1,1,11
103246,5,0,1,1,11
103259,1,6,0,0,00
103260,3,4,1,0,01
103261,1,7,0,0,00
103272,2,4,0,0,00
103275,2,0,0,1,10
103277,1,7,0,0,00
103303,6,1,1,1,11
103305,1,6,0,0,00
103308,5,6,1,0,01
103310,1,0,0,1,10
103312,3,5,1,0,01
103313,1,3,0,0,00
103317,2,0,0,1,10
103332,2,4,0,0,00
103347,1,6,0,0,00
103367,1,8,0,0,00
103373,3,1,1,1,11
103379,3,7,1,0,01
103382,4,3,1,0,01
103388,1,1,0,1,10
103390,1,7,0,0,00
103395,1,1,0,1,10
103402,2,2,0,1,10
103414,1,2,0,1,10
103416,1,4,0,0,00
103425,1,1,0,1,10
103427,4,4,1,0,01
103435,2,6,0,0,00
103439,7,0,1,1,11
103446,3,1,1,1,11
103448,3,1,1,1,11
103454,1,8,0,0,00
103458,3,1,1,1,11
103463,3,5,1,0,01
103469,3,1,1,1,11
103480,2,1,0,1,10
103481,1,5,0,0,00
103492,2,0,0,1,10
103509,8,0,1,1,11
103511,4,0,1,1,11
103530,2,0,0,1,10
103532,15,0,1,1,11
103538,4,3,1,0,01
103540,3,0,1,1,11
103543,1,8,0,0,00
103552,7,3,1,0,01
103574,2,0,0,1,10
103582,1,0,0,1,10
103584,1,2,0,1,10
103585,4,0,1,1,11
103611,1,2,0,1,10
103614,1,5,0,0,00
103623,2,3,0,0,00
103627,5,0,1,1,11
103628,1,0,0,1,10
103630,1,6,0,0,00
103634,3,6,1,0,01
103636,1,7,0,0,00
103643,2,0,0,1,10
103650,1,5,0,0,00
103651,1,5,0,0,00
103680,2,0,0,1,10
103683,1,7,0,0,00
103694,1,0,0,1,10
103702,1,3,0,0,00
103704,1,2,0,1,10
103709,1,4,0,0,00
103710,6,0,1,1,11
103712,3,0,1,1,11
103716,1,0,0,1,10
103732,1,3,0,0,00
103733,1,0,0,1,10
103741,2,3,0,0,00
103756,2,1,0,1,10
103760,2,1,0,1,10
103775,3,2,1,1,11
103777,1,0,0,1,10
103780,6,1,1,1,11
103790,7,1,1,1,11
103803,2,2,0,1,10
103807,1,3,0,0,00
103810,3,1,1,1,11
103814,2,0,0,1,10
103817,5,1,1,1,11
103834,1,1,0,1,10
103846,3,0,1,1,11
103852,7,1,1,1,11
103854,5,3,1,0,01
103856,1,8,0,0,00
103863,1,5,0,0,00
103884,3,4,1,0,01
103895,8,1,1,1,11
103902,6,4,1,0,01
103904,5,2,1,1,11
103910,2,0,0,1,10
103912,2,0,0,1,10
103914,1,0,0,1,10
103917,1,1,0,1,10
103923,1,3,0,0,00
103949,1,8,0,0,00
103957,1,0,0,1,10
103965,3,8,1,0,01
103966,4,0,1,1,11
103973,1,4,0,0,00
103983,2,8,0,0,00
104005,1,5,0,0,00
104010,5,2,1,1,11
104013,3,1,1,1,11
104014,1,3,0,0,00
104019,9,0,1,1,11
104042,2,8,0,0,00
104047,1,2,0,1,10
104051,1,3,0,0,00
104053,4,1,1,1,11
104065,3,1,1,1,11
104066,3,2,1,1,11
104082,2,4,0,0,00
104083,15,0,1,1,11
104088,6,6,1,0,01
104098,6,1,1,1,11
104103,2,7,0,0,00
104110,2,7,0,0,00
104111,2,5,0,0,00
104115,2,0,0,1,10
104127,1,6,0,0,00
104130,2,0,0,1,10
104137,2,6,0,0,00
104142,7,0,1,1,11
104165,2,1,0,1,10
104166,12,0,1,1,11
104169,1,2,0,1,10
104174,3,0,1,1,11
104191,3,1,1,1,11
104192,5,5,1,0,01
104201,4,7,1,0,01
104216,4,2,1,1,11
104241,3,4,1,0,01
104249,3,0,1,1,11
104252,2,3,0,0,00
104253,1,5,0,0,00
104264,4,3,1,0,01
104267,1,7,0,0,00
104280,1,6,0,0,00
104293,1,7,0,0,00
104303,1,2,0,1,10
104307,2,5,0,0,00
104325,1,1,0,1,10
104332,1,3,0,0,00
104334,4,1,1,1,11
104337,5,1,1,1,11
104338,2,8,0,0,00
104346,3,0,1,1,11
104349,4,0,1,1,11
104356,3,0,1,1,11
104363,2,4,0,0,00
104366,1,1,0,1,10
104368,3,5,1,0,01
104382,1,8,0,0,00
104391,3,2,1,1,11
104398,3,3,1,0,01
104406,2,2,0,1,10
104420,4,2,1,1,11
104423,2,0,0,1,10
104430,4,2,1,1,11
104432,2,1,0,1,10
104450,3,3,1,0,01
104460,2,4,0,0,00
104478,1,8,0,0,00
104486,1,6,0,0,00
104490,2,0,0,1,10
104495,1,8,0,0,00
104498,1,5,0,0,00
104503,2,0,0,1,10
104520,1,0,0,1,10
104521,1,1,0,1,10
104542,1,7,0,0,00
104570,7,2,1,1,11
104587,2,1,0,1,10
104593,3,0,1,1,11
104597,1,1,0,1,10
104599,5,1,1,1,11
104620,9,0,1,1,11
104622,1,1,0,1,10
104623,1,5,0,0,00
104626,4,2,1,1,11
104638,2,8,0,0,00
104640,1,0,0,1,10
104642,5,6,1,0,01
104653,1,0,0,1,10
104659,4,1,1,1,11
104667,1,7,0,0,00
104674,1,5,0,0,00
104675,3,8,1,0,01
104690,1,0,0,1,10
104691,5,1,1,1,11
104695,3,2,1,1,11
104701,3,5,1,0,01
104703,9,0,1,1,11
104710,9,0,1,1,11
104719,3,0,1,1,11
104733,7,2,1,1,11
104734,1,0,0,1,10
104742,2,2,0,1,10
104749,2,6,0,0,00
104765,1,1,0,1,10
104778,4,1,1,1,11
104781,5,1,1,1,11
104782,2,2,0,1,10
104783,1,6,0,0,00
